Ticker,CompanyName,Sector,Industry,Location,DateAdded
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",12/31/1976
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",10/17/2011
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",6/22/2020
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",9/21/2020
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",12/21/2020
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",3/12/2001
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",11/26/2024
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/2004
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",1/24/2014
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",11/17/2010
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",8/21/2002
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/2021
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",12/4/1997
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",6/22/2020
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/2005
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",11/1/1999
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",12/18/2023
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",3/7/2016
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",4/18/2016
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",3/4/1957
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",9/3/2015
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/2002
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",12/20/2002
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",10/2/2023
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/1983
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",9/23/2013
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/2004
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",6/8/2022
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",12/21/2009
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",5/8/2024
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",6/30/1999
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",6/30/1981
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2/27/2019
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",8/31/1982
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",4/11/2022
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",8/31/1998
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1/2/2002
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/1976
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/2020
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/2009
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",10/1/1979
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/1975
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/2016
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/1957
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",11/1/2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/2019
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/2013
