Ticker,CompanyName,Sector,Industry,Location,DateAdded
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1/1/1994
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",7/22/2002
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1/7/2021
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",3/20/2015
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",12/3/2001
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",9/23/2024
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",4/2/2014
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1/5/2006
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",7/24/2009
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",3/4/1957
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",10/2/2007
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1/19/2016
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/2021
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",3/20/2023
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",9/15/2008
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",11/10/2006
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",3/29/1996
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/2022
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/1997
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",4/2/2001
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",7/1/2016
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",3/4/2019
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",3/4/2019
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/1998
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",7/1/2011
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",3/4/1957
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",1/4/2023
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",4/2/2024
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",3/25/2003
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/1957
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",12/31/1973
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",4/25/2016
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",6/24/2024
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/2002
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",3/31/2008
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",5/31/1984
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/4/1957
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",10/21/2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",10/18/2023
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",12/10/2012
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",8/28/1997
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",8/9/2019
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",2/28/1986
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",3/3/2020
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",3/15/2023
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",3/31/1976
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",3/4/1957
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",10/1/1992
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",12/5/2000
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",9/19/2022
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1/6/2009
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",7/1/2015
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",12/18/2023
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",11/13/2018
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",8/27/2010
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",6/30/1975
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",9/11/1989
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",8/25/2023
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",6/21/2022
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",3/4/1957
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",4/4/2006
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",6/24/2024
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",9/30/1997
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/1957
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/2008
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",6/29/2012
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",8/9/2019
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",7/1/1992
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",3/4/1957
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",5/31/1995
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",10/18/2023
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2/23/2004
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",7/1/2019
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",5/29/1998
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",8/31/1987
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",6/30/1981
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",7/18/2008
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",9/20/2021
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/2003
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1/13/1999
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/1957
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",12/11/2000
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",6/1/1994
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",12/2/2016
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",7/21/2021
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",3/2/2022
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",6/30/1976
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2/12/2021
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",6/28/2012
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",7/1/1998
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",7/29/1993
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",3/4/1957
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4/4/2018
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",10/22/2008
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",6/25/1999
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010
NEM,Newmont,Materials,Gold,"Denver, Colorado",6/30/1969
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",8/1/2013
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",9/18/2015
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",11/2/2000
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2/15/2022
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",3/4/1957
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1/30/1998
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",3/4/1957
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/2010
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",4/30/1985
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",11/30/2001
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/2019
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/2021
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",3/27/2009
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",12/9/2019
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",12/31/1997
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",6/21/2022
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/2010
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",8/31/1989
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",4/3/2020
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",12/31/1980
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",7/26/2017
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",9/23/2024
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",6/20/2023
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",9/30/1994
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",11/30/1985
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",10/1/1998
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1/28/2020
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",7/20/2015
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",10/1/2012
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",3/4/1957
